#front|back
<h1>受ける</h1>|<div class='reading'>うける</div><br><div class='reading'>ウケる</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to receive</div><br><div class='definition'>* to get</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to catch (e.g. a ball)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to be struck by (wind, waves, sunlight, etc.)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to sustain (damage)</div><br><div class='definition'>* to incur (a loss)</div><br><div class='definition'>* to suffer (an injury)</div><br><div class='definition'>* to feel (influence)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to undergo (e.g. surgery)</div><br><div class='definition'>* to take (a test)</div><br><div class='definition'>* to accept (a challenge)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to be given (e.g. life, talent)</div><br><br><div class='tags'>col-uk-v1-vi</div><br><div class='definition'>* to find funny</div><br><div class='definition'>* to find humorous</div><br><div class='definition'>* to be amused (by)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to follow</div><br><div class='definition'>* to succeed</div><br><div class='definition'>* to be descended from</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to face (south, etc.)</div><br><br><div class='tags'>ling-v1-vt</div><br><div class='definition'>* to be modified by</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to obtain (a pawned item, etc.) by paying a fee</div><br><br><div class='tags'>uk-v1-vi</div><br><div class='definition'>* to be well-received</div><br><div class='definition'>* to become popular</div><br><div class='definition'>* to go down well</div><br><br>
<h1>ところ</h1>|<div class='reading'>ところ</div><br><div class='reading'>やろう</div><br><div class='reading'>トコロ</div><br><hr><div class='tags'>uk-n</div><br><div class='definition'>* Dioscorea tokoro (species of wild yam)</div><br><br><div class='tags'>n</div><br><div class='definition'>* old man living in the countryside</div><br><br><br><div class='reading'>ところ</div><br><div class='reading'>とこ</div><br><hr><div class='tags'>n-adv-suf</div><br><div class='definition'>* place</div><br><div class='definition'>* spot</div><br><div class='definition'>* scene</div><br><div class='definition'>* site</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* address</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* district</div><br><div class='definition'>* area</div><br><div class='definition'>* locality</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* one's house</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* point</div><br><div class='definition'>* aspect</div><br><div class='definition'>* side</div><br><div class='definition'>* facet</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* passage (in text)</div><br><div class='definition'>* part</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* space</div><br><div class='definition'>* room</div><br><br><div class='tags'>uk-n-suf</div><br><div class='definition'>* thing</div><br><div class='definition'>* matter</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* whereupon</div><br><div class='definition'>* as a result</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* about to</div><br><div class='definition'>* on the verge of</div><br><br><div class='tags'>uk-n</div><br><div class='definition'>* was just doing</div><br><div class='definition'>* was in the process of doing</div><br><div class='definition'>* have just done</div><br><div class='definition'>* just finished doing</div><br><br>
<h1>しか</h1>|<div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* poet</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n-vs</div><br><div class='definition'>* poetization</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>Buddh-n</div><br><div class='definition'>* head monk in charge of the administrative section of a zendo (Zen)</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>arch-int</div><br><div class='definition'>* like that</div><br><div class='definition'>* as such</div><br><br><div class='tags'>int</div><br><div class='definition'>* yeah</div><br><div class='definition'>* uh-huh</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* blemish</div><br><div class='definition'>* flaw</div><br><div class='definition'>* defect</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* price of silk thread</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* private house</div><br><div class='definition'>* one's own house</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* price of paper</div><br><br><br><div class='reading'>かみばな</div><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* paper flower</div><br><br><div class='tags'>n</div><br><div class='definition'>* decorative paper flower for a funeral</div><br><br><div class='tags'>arch-n</div><br><div class='definition'>* piece of paper given as a tip in a red-light district (that can later be exchanged for money)</div><br><br><br><div class='reading'>しいか</div><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* Japanese and Chinese poetry</div><br><br><div class='tags'>n</div><br><div class='definition'>* poetry</div><br><div class='definition'>* poems</div><br><br><br><div class='reading'>しか</div><br><div class='reading'>かせぎ</div><br><div class='reading'>か</div><br><div class='reading'>ろく</div><br><div class='reading'>シカ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* deer (esp. the sika deer, Cervus nippon)</div><br><div class='definition'>* cervid</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* dentistry</div><br><br><br><div class='reading'>めばな</div><br><div class='reading'>しか</div><br><hr><div class='tags'>bot-n</div><br><div class='definition'>* female flower</div><br><div class='definition'>* pistillate flower</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* furlough</div><br><div class='definition'>* leave of absence</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* the teacher's home</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* market price</div><br><div class='definition'>* current price</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>n</div><br><div class='definition'>* historian</div><br><br><br><div class='reading'>しか</div><br><hr><div class='tags'>prt</div><br><div class='definition'>* nothing but</div><br><div class='definition'>* except</div><br><div class='definition'>* no more than</div><br><br>
<h1>相手</h1>|<div class='reading'>あいて</div><br><hr><div class='tags'>n</div><br><div class='definition'>* companion</div><br><div class='definition'>* partner</div><br><div class='definition'>* company</div><br><br><div class='tags'>n</div><br><div class='definition'>* other party</div><br><div class='definition'>* addressee</div><br><br><div class='tags'>n</div><br><div class='definition'>* opponent (sports, etc.)</div><br><br>
<h1>体</h1>|<div class='reading'>てい</div><br><hr><div class='tags'>n</div><br><div class='definition'>* appearance</div><br><div class='definition'>* air</div><br><div class='definition'>* condition</div><br><div class='definition'>* state</div><br><div class='definition'>* form</div><br><br><br><div class='reading'>たい</div><br><hr><div class='tags'>n-n-suf</div><br><div class='definition'>* body</div><br><div class='definition'>* physique</div><br><div class='definition'>* posture</div><br><br><div class='tags'>n-n-suf</div><br><div class='definition'>* shape</div><br><div class='definition'>* form</div><br><div class='definition'>* style</div><br><br><div class='tags'>n-n-suf</div><br><div class='definition'>* substance</div><br><div class='definition'>* identity</div><br><div class='definition'>* reality</div><br><br><div class='tags'>math-n-n-suf</div><br><div class='definition'>* field</div><br><br><div class='tags'>ctr</div><br><div class='definition'>* counter for humanoid forms (e.g. dolls, statues, corpses, etc.)</div><br><br><div class='tags'>n-n-suf</div><br><div class='definition'>* typeface</div><br><div class='definition'>* type</div><br><br><br><div class='reading'>からだ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* body</div><br><br><div class='tags'>n</div><br><div class='definition'>* torso</div><br><div class='definition'>* trunk</div><br><br><div class='tags'>n</div><br><div class='definition'>* build</div><br><div class='definition'>* physique</div><br><div class='definition'>* frame</div><br><div class='definition'>* figure</div><br><br><div class='tags'>n</div><br><div class='definition'>* health</div><br><div class='definition'>* constitution</div><br><br><div class='tags'>arch-n</div><br><div class='definition'>* corpse</div><br><div class='definition'>* dead body</div><br><br>
<h1>姿</h1>|<div class='reading'>すがた</div><br><hr><div class='tags'>n</div><br><div class='definition'>* figure</div><br><div class='definition'>* form</div><br><div class='definition'>* shape</div><br><br><div class='tags'>n</div><br><div class='definition'>* appearance</div><br><div class='definition'>* dress</div><br><div class='definition'>* guise</div><br><br><div class='tags'>n</div><br><div class='definition'>* state</div><br><div class='definition'>* condition</div><br><div class='definition'>* picture</div><br><div class='definition'>* image</div><br><br><div class='tags'>n</div><br><div class='definition'>* form (of a waka)</div><br><br><div class='tags'>n-suf</div><br><div class='definition'>* dressed in ...</div><br><div class='definition'>* wearing ...</div><br><br>
<h1>最後</h1>|<div class='reading'>さいご</div><br><hr><div class='tags'>n</div><br><div class='definition'>* end</div><br><div class='definition'>* conclusion</div><br><br><div class='tags'>adj-no</div><br><div class='definition'>* last</div><br><div class='definition'>* final</div><br><div class='definition'>* latest</div><br><div class='definition'>* most recent</div><br><br><div class='tags'>exp</div><br><div class='definition'>* no sooner than</div><br><div class='definition'>* once</div><br><div class='definition'>* right after (often having negative consequences)</div><br><br><div class='tags'>arch-n</div><br><div class='definition'>* one's final moments</div><br><br>
<h1>最初</h1>|<div class='reading'>さいしょ</div><br><hr><div class='tags'>adj-no-n-adv</div><br><div class='definition'>* beginning</div><br><div class='definition'>* outset</div><br><div class='definition'>* first</div><br><div class='definition'>* onset</div><br><br>
<h1>戻る</h1>|<div class='reading'>もとる</div><br><hr><div class='tags'>uk-v5r-vi</div><br><div class='definition'>* to go against</div><br><div class='definition'>* to act contrary to</div><br><div class='definition'>* to run counter to</div><br><div class='definition'>* to deviate from</div><br><br><br><div class='reading'>もどる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to turn back (e.g. half-way)</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to return</div><br><div class='definition'>* to go back</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to recover (e.g. something lost)</div><br><div class='definition'>* to be returned</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to rebound</div><br><div class='definition'>* to spring back</div><br><br>
<h1>向かう</h1>|<div class='reading'>むかう</div><br><hr><div class='tags'>v5u-vi</div><br><div class='definition'>* to face</div><br><br><div class='tags'>v5u-vi</div><br><div class='definition'>* to go towards</div><br><div class='definition'>* to head towards</div><br><br>
<h1>変わる</h1>|<div class='reading'>かわる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to change</div><br><div class='definition'>* to be transformed</div><br><div class='definition'>* to be altered</div><br><div class='definition'>* to vary</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to move to</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to be different</div><br><div class='definition'>* to be uncommon</div><br><div class='definition'>* to be unusual</div><br><br>
